YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 07 10 00 327  9.8 10.9 99.00 99.00 99.00 999 1014.7 999.0 999.0 999.0 99.0 99.00
2021 01 07 11 00 316  8.8  9.5 99.00 99.00 99.00 999 1014.6 999.0 999.0 999.0 99.0 99.00
2021 01 07 12 00 323  8.4  9.1 99.00 99.00 99.00 999 1015.3 999.0 999.0 999.0 99.0 99.00
2021 01 07 13 00 329 10.3 11.1 99.00 99.00 99.00 999 1016.1 999.0 999.0 999.0 99.0 99.00
2021 01 07 14 00 326  9.9 11.4 99.00 99.00 99.00 999 1016.6 999.0 999.0 999.0 99.0 99.00
2021 01 07 15 00 326  8.0  8.5 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2021 01 07 16 00 324  8.1  9.7 99.00 99.00 99.00 999 1015.9 999.0 999.0 999.0 99.0 99.00
2021 01 07 17 00 319  7.4  8.0 99.00 99.00 99.00 999 1015.5 999.0 999.0 999.0 99.0 99.00
2021 01 07 18 00 314  6.9  7.6 99.00 99.00 99.00 999 1015.4 999.0 999.0 999.0 99.0 99.00
2021 01 07 19 00 309  8.0  8.9 99.00 99.00 99.00 999 1015.2 999.0 999.0 999.0 99.0 99.00
2021 01 07 20 00 301  7.8  8.8 99.00 99.00 99.00 999 1015.5 999.0 999.0 999.0 99.0 99.00
2021 01 07 21 00 311  8.5  9.4 99.00 99.00 99.00 999 1016.0 999.0 999.0 999.0 99.0 99.00
2021 01 07 22 00 306  9.6 10.0 99.00 99.00 99.00 999 1016.5 999.0 999.0 999.0 99.0 99.00
2021 01 07 23 00 314  8.3  8.9 99.00 99.00 99.00 999 1016.6 999.0 999.0 999.0 99.0 99.00
2021 01 08 00 00 322  8.9  9.4 99.00 99.00 99.00 999 1016.9 999.0 999.0 999.0 99.0 99.00
2021 01 08 01 00 330  8.3  9.3 99.00 99.00 99.00 999 1016.9 999.0 999.0 999.0 99.0 99.00
2021 01 08 02 00 338  9.1 10.0 99.00 99.00 99.00 999 1016.7 999.0 999.0 999.0 99.0 99.00
2021 01 08 03 00 338  9.8 11.0 99.00 99.00 99.00 999 1016.7 999.0 999.0 999.0 99.0 99.00
2021 01 08 04 00 342  7.9  9.1 99.00 99.00 99.00 999 1016.6 999.0 999.0 999.0 99.0 99.00
2021 01 08 05 00 339  7.3  8.0 99.00 99.00 99.00 999 1016.5 999.0 999.0 999.0 99.0 99.00
2021 01 08 06 00 339  7.9  8.5 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2021 01 08 07 00 346  6.4  7.3 99.00 99.00 99.00 999 1016.6 999.0 999.0 999.0 99.0 99.00
2021 01 08 08 00 343  7.3  7.9 99.00 99.00 99.00 999 1016.5 999.0 999.0 999.0 99.0 99.00
2021 01 08 09 00 339  6.9  7.9 99.00 99.00 99.00 999 1016.2 999.0 999.0 999.0 99.0 99.00
2021 01 08 10 00 339  4.9  5.4 99.00 99.00 99.00 999 1015.8 999.0 999.0 999.0 99.0 99.00
2021 01 08 11 00 331  6.3  6.8 99.00 99.00 99.00 999 1016.0 999.0 999.0 999.0 99.0 99.00
2021 01 08 12 00 326  4.8  5.9 99.00 99.00 99.00 999 1015.9 999.0 999.0 999.0 99.0 99.00
2021 01 08 13 00 315  4.2  4.7 99.00 99.00 99.00 999 1016.0 999.0 999.0 999.0 99.0 99.00
2021 01 08 14 00 342  4.0  4.4 99.00 99.00 99.00 999 1015.7 999.0 999.0 999.0 99.0 99.00
2021 01 08 15 00 289  2.2  2.7 99.00 99.00 99.00 999 1015.4 999.0 999.0 999.0 99.0 99.00
2021 01 08 16 00 289  3.0  3.3 99.00 99.00 99.00 999 1014.3 999.0 999.0 999.0 99.0 99.00
2021 01 08 17 00 319  5.8  6.8 99.00 99.00 99.00 999 1013.2 999.0 999.0 999.0 99.0 99.00
2021 01 08 18 00 301  5.0  5.7 99.00 99.00 99.00 999 1012.7 999.0 999.0 999.0 99.0 99.00
2021 01 08 19 00 298  4.3  5.1 99.00 99.00 99.00 999 1012.1 999.0 999.0 999.0 99.0 99.00
2021 01 08 20 00 344  4.0  4.3 99.00 99.00 99.00 999 1011.4 999.0 999.0 999.0 99.0 99.00
